campaign,district,tehsil,uc,day,designation,org,pop,lat,lon,hh,a1,a1c,a2,a2c,nt,tv,na,ref,g,gv,st,sv,ri,vm,ff,ma,pc,mon,sd
NID FEB 2026,KHYBER,JAMRUD,GHUNDI B,1,UCPO,WHO,hrmp,34.066,71.402,7,3,2,11,9,,,3,,,,9,9,,,,,,M-JX7EPR,836
NID FEB 2026,KHYBER,BARA,MILWARD A,1,UCPO,WHO,nonhrmp,33.846,71.467,7,6,4,29,28,,,3,,,,22,22,,,,,,M-41D0XT,814
NID FEB 2026,KHYBER,BARA,MILWARD A,1,CBO,UNICEF,nonhrmp,33.801,71.511,7,4,4,25,25,,,,,,,29,29,,,,,,M-HDRR9E,1007
NID FEB 2026,KHYBER,BARA,SHALOBAR,1,UCMO,Government,nonhrmp,33.935,71.448,7,4,4,23,22,,,1,,,,21,21,,,,,,M-TN5E5D,1787
NID FEB 2026,KHYBER,JAMRUD,GHUNDI A,1,CBO,UNICEF,nonhrmp,34.035,71.387,7,5,5,15,11,,,4,,,,10,10,1,,,,,M-1LRZL3,
NID FEB 2026,KHYBER,BARA,MILWARD A,1,UCPO,WHO,nonhrmp,33.839,71.469,7,2,2,14,14,,,,,,,14,14,,,,,,M-41D0XT,814
NID FEB 2026,KHYBER,BARA,MANDI KAS,1,UCPO,WHO,nonhrmp,33.889,71.404,7,3,3,14,14,,,,,,,11,11,,,,,,M-TXP769,2200
NID FEB 2026,KHYBER,BARA,SHALOBAR,1,UCPO,WHO,nonhrmp,33.914,71.416,7,4,3,21,21,,,1,,,,22,22,,,,,,M-4JHWBS,782
NID FEB 2026,KHYBER,BARA,JANBAZ B,1,UCPO,WHO,hrmp,33.929,71.337,7,2,2,15,13,,,2,,,,10,10,,,,,,M-TVQHF9,
NID FEB 2026,KHYBER,JAMRUD,GHUNDI A,1,UCPO,WHO,hrmp,34.033,71.392,7,2,2,14,12,,,2,,,,14,14,,,,,,M-3KV12Y,508
NID FEB 2026,KHYBER,BARA,SPEEN QABAR,1,UCMO,Government,nonhrmp,33.881,71.379,7,1,1,10,10,,,,,,,11,11,,,,,,M-U7NQQ8,186
NID FEB 2026,KHYBER,JAMRUD,GHUNDI B,1,UCPO,WHO,nonhrmp,34.07,71.374,7,3,3,13,12,,,1,,6,5,19,19,,,,,,M-79JU6J,660
NID FEB 2026,KHYBER,BARA,MILWARD A,1,CBO,UNICEF,nonhrmp,33.795,71.503,7,5,5,23,22,,,1,,,,27,27,,,,,,M-HDRR9E,1007
NID FEB 2026,KHYBER,JAMRUD,GHUNDI A,1,UCPO,WHO,hrmp,34.053,71.405,7,1,1,12,12,,,,,,,13,13,,,,,,M-PGD9YR,
NID FEB 2026,KHYBER,JAMRUD,GHUNDI B,1,UCMO,Government,nonhrmp,34.062,71.398,7,7,6,22,22,,,1,,,,21,21,,,,,,M-EZLTKC,
NID FEB 2026,KHYBER,BARA,SHALOBAR,1,UCPO,WHO,nonhrmp,33.921,71.448,7,6,6,16,12,,,4,,,,16,16,,,,,,M-16P8NL,19960
NID FEB 2026,KHYBER,BARA,SPEEN QABAR,1,UCPO,WHO,nonhrmp,33.882,71.391,7,3,3,10,10,,,,,,,13,13,,,,,,M-5TQLRZ,1864
NID FEB 2026,KHYBER,BARA,SPEEN QABAR,1,UCMO,Government,nonhrmp,33.881,71.377,7,3,3,13,12,,,1,,,,15,15,,,,,,M-U7NQQ8,186
NID FEB 2026,KHYBER,JAMRUD,GHUNDI B,1,UCPO,WHO,nonhrmp,34.069,71.381,7,,,14,14,,,,,1,1,15,15,,,,,,M-79JU6J,660
NID FEB 2026,KHYBER,BARA,SHALOBAR,1,UCMO,Government,nonhrmp,33.919,71.453,7,3,3,18,18,,,,,,,18,18,,,,,,M-TN5E5D,1787
NID FEB 2026,KHYBER,BARA,MILWARD A,1,UCMO,Government,nonhrmp,33.85,71.447,7,5,5,14,14,,,,,,,14,14,,,,,,M-KLVG3Y,777
NID FEB 2026,KHYBER,JAMRUD,GHUNDI B,1,UCPO,WHO,hrmp,34.058,71.401,7,5,4,20,20,,,1,,,,19,19,,,,,,M-JX7EPR,836
NID FEB 2026,KHYBER,BARA,MILWARD B,1,CBO,UNICEF,nonhrmp,33.85,71.473,7,2,1,12,12,,,1,,,,12,12,,,,,,M-J2441T,19
NID FEB 2026,KHYBER,BARA,JANBAZ B,1,UCMO,Government,nonhrmp,33.943,71.36,7,2,2,15,14,,1,,,1,1,8,8,1,,,,,M-MNZWBU,
NID FEB 2026,KHYBER,BARA,JANBAZ B,1,UCPO,WHO,hrmp,33.933,71.343,7,4,3,12,10,,,3,,,,10,10,,,,,,M-AMURQ4,
NID FEB 2026,KHYBER,BARA,NOGAZI BABA,1,UCPO,WHO,nonhrmp,33.957,71.45,7,2,2,19,17,,,2,,1,1,14,14,,,,,,M-08FDR9,637
NID FEB 2026,KHYBER,BARA,MILWARD A,1,UCMO,Government,nonhrmp,33.854,71.454,7,2,2,8,8,,,,,,,9,9,,,,,,M-KLVG3Y,777
