Campaign,Province,District,Tehsil,UC name,UC Code,MPQA Reported,Desk Review %,Field Validation %,Over-all %,Band,Field vs Desk,Micro Plan available with UCMO,HR numbers match District Resource Plan,SBC component complete,UC Map complete,HH totals reconcile,Team workload within limits,Hamlets / streets listed,AIC/AS Map complete,Vaccine & logistics plan,MMP in AIC/AS area,Starting Point HH details,Team Route Map & landmark,School / madrassa target,Hamlet exists in Operational Plan,MMP in today's plan,Ending Point HH details,Geographic category matches
SNID Sep 2026,KP,PESHAWAR,SMT,SHAHEEN MUSLIM TWN1,33008012,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100
SNID Sep 2026,KP,PESHAWAR,SMT,AKHOON ABAD,33008001,Yes,98.53,98.38,98.42,Good,-.15,100,100,100,75,100,100,100,100,100,100,100,87.5,100,100,100,100,100
SNID Sep 2026,KP,KHYBER,BARA,ABDULLAH JAN,33401102,Yes,86.05,93.65,91.56,Good,7.6,100,100,100,100,100,25,100,100,100,100,93.75,100,100,100,66.67,100,87.5
SNID Sep 2026,KP,PESHAWAR,CITY,CANTT WARD 1,33004003,Yes,97.29,92.47,93.81,Good,-4.82,100,100,75,100,100,100,100,100,100,100,100,0,100,100,100,100,100
SNID Sep 2026,KP,CHARSADA,CHARSADDA,RAJJAR 2,33101019,Yes,95.9,88.89,90.6,Good,-7.01,100,100,75,75,100,100,100,100,100,100,87.5,85.71,100,100,62.5,93.75,100
SNID Sep 2026,KP,PESHAWAR,CITY,SHAHI BAGH,33004027,Yes,100,95.67,96.78,Good,-4.33,100,100,100,100,100,100,100,100,100,100,93.75,100,,100,100,87.5,100
SNID Sep 2026,KP,CHARSADA,CHARSADDA,GHONDA KARKANA,33101007,Yes,100,96.4,97.1,Good,-3.6,100,100,100,100,100,100,100,100,100,100,93.75,85.71,100,100,,100,100
SNID Sep 2026,KP,NOWSHERA,NOWSHERA,BARA BANDA,33202010,Yes,77.73,94.91,90.64,Good,17.18,100,100,100,100,0,0,100,100,100,83.33,100,100,100,100,83.33,100,75
SNID Sep 2026,KP,PESHAWAR,CITY,GULBAHAR,33004008,Yes,97.21,100,99.31,Good,2.79,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SNID Sep 2026,KP,CHARSADA,CHARSADDA,MIRA PRANG,33101015,Yes,98.53,96,96.49,Good,-2.53,100,100,100,75,100,100,100,100,100,100,100,100,100,100,50,100,100
SNID Sep 2026,KP,NOWSHERA,JEHANGIRA,KAHI,33203006,Yes,85.59,96.68,93.73,Good,11.09,50,100,66.67,100,100,100,66.67,100,100,100,100,100,,100,100,87.5,100
SNID Sep 2026,KP,PESHAWAR,SHAH ALAM,WADPAGA,33007022,Yes,100,100,100,Good,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SNID Sep 2026,KP,KHYBER,JAMRUD,ALI MASJID A,33402070,Yes,100,90,91.65,Good,-10,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,75,100
SNID Sep 2026,KP,MOHMAND,SAFI LAKARO,SANDO KHEL,33507025,Yes,91.68,90.43,90.75,Good,-1.25,75,100,100,75,100,100,100,66.67,100,,93.75,57.14,,100,,93.75,100
